"Time","T0101","","T0101","","T0101","","T0101","","T0101",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/01/2016,        61.2,      1,        61.2,      1,         1.6,      1,        -9.3,      1,        12.2,      1,Sites:
00:00:00 01/02/2016,       133.0,      1,       131.8,      1,         5.7,      1,        -2.6,      1,        16.2,      1,T0101 - Zambana (Idrovora) Lat:46.156797 Long:11.079051 Elev:205
00:00:00 01/03/2016,        63.6,     90,        64.8,     90,         9.3,      1,        -0.9,      1,        21.6,      1,
00:00:00 01/04/2016,        32.2,      1,        36.1,      1,        14.3,      1,         1.4,      1,        23.6,      1,Variables:
00:00:00 01/05/2016,       145.0,      1,       141.0,      1,        16.0,      1,         4.8,      1,        27.9,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,        97.6,      1,        97.4,      1,        20.4,      1,        11.2,      1,        33.7,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       137.2,      1,       131.9,      1,        23.0,      1,        10.7,      1,        33.0,      1,
00:00:00 01/08/2016,        67.2,      1,        72.8,      1,        21.6,      1,        10.7,      1,        32.3,      1,Qualities:
00:00:00 01/09/2016,        24.4,      1,        24.4,      1,        19.6,      1,         9.0,      1,        31.5,      1,1 - Dato buono
00:00:00 01/10/2016,        92.4,      1,        92.4,      1,        11.9,      1,         0.7,      1,        23.8,      1,90 - Neve (ritardato)
00:00:00 01/11/2016,       120.4,      1,       120.4,      1,         7.0,      1,        -4.0,      1,        17.7,      1,"140 - dato incerto, per analisi climatiche o malfunzionamento stazione"
00:00:00 01/12/2016,         0.0,      1,         0.0,      1,         1.7,      1,        -7.0,      1,        16.1,      1,"145 - da teletrasmissione, non validato"
00:00:00 01/01/2017,         5.2,      1,         5.2,      1,        -0.3,      1,       -11.3,      1,        10.0,      1,255 - No data
