"Time","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/01/2016,        39.0,      1,        39.0,      1,         2.4,      1,        -7.1,      1,        12.4,      1,        72.1,    140,           1,      1,         1.5,      1,       979.7,      1,    170963.6,      1,Sites:
00:00:00 01/02/2016,       127.0,      1,       126.3,      1,         5.6,      1,        -1.1,      1,        15.8,      1,        76.8,    140,           4,      1,         1.9,      1,       976.6,      1,    194607.0,      1,T0129 - Trento (Laste) Lat:46.071801 Long:11.135703 Elev:312
00:00:00 01/03/2016,        53.0,      1,        53.7,      1,         8.9,      1,        -0.3,      1,        19.9,    140,        58.7,    140,         356,      1,         2.2,      1,       975.4,      1,    396420.8,      1,
00:00:00 01/04/2016,        34.4,      1,        38.1,      1,        13.9,      1,         3.1,      1,"",    151,        59.9,    140,         358,      1,         2.6,      1,       975.0,      1,    482729.8,      1,Variables:
00:00:00 01/05/2016,       124.4,      1,       120.5,      1,        15.6,      1,         7.6,      1,"",    151,        66.1,    140,          11,      1,         2.2,      1,       976.2,      1,    556410.3,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       109.8,      1,       109.9,      1,        19.9,      1,        12.3,      1,        33.2,      1,        69.2,      1,          22,    140,         2.3,      1,       977.0,      1,    670564.6,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       105.2,      1,        94.9,      1,        22.9,      1,        14.1,      1,        33.2,      1,        63.8,      1,         342,    140,         2.4,      1,       979.4,      1,    691835.7,      1,430 - Umid.relativa aria (percentuale)
00:00:00 01/08/2016,       100.6,      1,       110.9,      1,        21.6,      1,        12.3,      1,        31.4,      1,        65.6,      1,         352,    140,         2.3,      1,       981.5,      1,    645822.4,      1,500 - Direzione vento media (gradi)
00:00:00 01/09/2016,        29.2,      1,        29.2,      1,        19.7,      1,        11.1,      1,        30.8,      1,        65.5,      1,          25,      1,         2.3,      1,       981.2,      1,    463663.9,      1,515 - Veloc. vento media (metri/secondo)
