"Time","T0009","","T0009","","T0009","","T0009","","T0009",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/01/2016,        71.6,      1,        71.6,      1,         1.0,      1,        -8.9,      1,        12.8,      1,Sites:
00:00:00 01/02/2016,       190.8,      1,       190.1,      1,         3.0,      1,        -3.6,      1,        12.5,      1,T0009 - Centa San Nicolo' Lat:45.970142 Long:11.234176 Elev:805
00:00:00 01/03/2016,        64.8,      1,        65.5,      1,         5.5,      1,        -1.4,      1,        17.4,      1,
00:00:00 01/04/2016,        47.0,      1,        50.6,      1,        10.5,      1,         0.3,      1,        19.9,      1,Variables:
00:00:00 01/05/2016,       194.4,      1,       188.8,      1,        12.3,      1,         4.9,      1,        23.6,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,        94.8,      1,        96.7,      1,        16.6,      1,         9.0,      1,        30.1,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       113.0,      1,       104.6,      1,        19.8,      1,        11.9,      1,        29.0,      1,
00:00:00 01/08/2016,       191.4,      1,       199.8,      1,        18.6,      1,         9.0,      1,        27.3,      1,Qualities:
00:00:00 01/09/2016,        40.2,      1,        40.2,      1,        16.6,      1,         9.3,      1,        26.8,      1,1 - Dato buono
00:00:00 01/10/2016,       130.4,      1,       130.4,      1,         9.5,      1,         1.4,      1,        19.0,      1,"140 - dato incerto, per analisi climatiche o malfunzionamento stazione"
00:00:00 01/11/2016,       118.0,      1,       118.0,      1,         5.1,      1,        -2.9,      1,        13.4,      1,"145 - da teletrasmissione, non validato"
00:00:00 01/12/2016,         0.0,      1,         0.0,      1,         4.0,      1,        -2.5,      1,        15.9,      1,255 - No data
00:00:00 01/01/2017,         7.8,      1,         7.6,      1,        -1.3,      1,        -9.5,      1,         7.4,      1
