"Time","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/01/2016,        43.6,      1,        43.6,      1,         0.7,      1,        -8.5,      1,        13.0,      1,        80.7,    140,         354,      1,         0.4,      1,       956.0,      1,    106659.8,      1,Sites:
00:00:00 01/02/2016,       150.4,      1,       149.1,      1,         3.8,      1,        -3.2,      1,        15.2,      1,        84.6,    145,          18,    145,         0.6,    145,       953.1,      1,    151655.5,    145,T0010 - Levico (Terme) Lat:46.010558 Long:11.305143 Elev:502
00:00:00 01/03/2016,        45.8,      1,        47.1,      1,         7.2,      1,        -0.6,      1,        20.8,      1,        72.6,    145,          20,    145,         0.5,    145,       952.0,      1,    329734.3,    145,
00:00:00 01/04/2016,        47.6,      1,        50.7,      1,        12.5,      1,         0.8,      1,        23.9,      1,        72.3,    145,          48,    145,         0.7,    145,       951.8,      1,    458789.4,    145,Variables:
00:00:00 01/05/2016,       126.8,      1,       119.9,      1,        14.3,      1,         5.3,      1,        29.4,      1,        77.5,    145,          28,    145,         0.6,    145,       953.0,      1,    531082.3,    145,10 - Pioggia (millimetri)
00:00:00 01/06/2016,        79.6,      1,        83.3,      1,        18.6,      1,        10.5,      1,        33.3,      1,        80.3,    145,          43,    145,         0.6,    145,       954.2,      1,    598168.3,    145,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       120.6,      1,       112.6,      1,        21.7,      1,        11.5,      1,        34.2,      1,        76.8,    145,          31,    145,         0.6,    145,       956.8,      1,    651902.2,    145,430 - Umid.relativa aria (percentuale)
00:00:00 01/08/2016,       132.8,      1,       140.8,      1,        20.3,      1,        10.2,      1,        31.5,      1,        79.6,    145,          20,    145,         0.5,    145,       958.8,      1,    599903.5,    145,500 - Direzione vento media (gradi)
00:00:00 01/09/2016,"",    255,"",    151,"",    255,"",    151,        30.6,      1,"",    255,"",    255,"",    255,"",    255,"",    255,515 - Veloc. vento media (metri/secondo)
