"Time","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/01/2016,       122.6,      1,       122.6,      1,        -2.8,      1,       -17.4,      1,        13.4,      1,        70.3,    145,         346,    145,         1.7,    145,       816.9,      1,    124639.4,    145,Sites:
00:00:00 01/02/2016,       210.4,      1,       207.2,      1,        -1.0,      1,       -12.9,      1,        14.3,    140,        77.3,    145,         345,    145,         1.5,    145,       815.3,      1,    164849.6,    145,T0373 - Daone (Malga Bissina) Lat:46.052903 Long:10.514122 Elev:1785
00:00:00 01/03/2016,        92.0,      1,        95.0,      1,        -1.0,      1,       -13.4,    140,        12.0,      1,        75.2,    145,         350,    145,         1.5,    145,       815.1,      1,    378819.4,    145,
00:00:00 01/04/2016,"",    255,"",    151,"",    255,"",    151,"",    151,"",    255,"",    255,"",    255,"",    255,"",    255,Variables:
00:00:00 01/05/2016,       206.8,      1,       197.0,      1,         6.0,      1,        -1.6,      1,        19.2,      1,        83.8,    145,           4,    145,         1.4,    145,       819.4,      1,    489922.7,    145,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       166.4,      1,       167.1,      1,        10.4,      1,         3.4,      1,        24.4,      1,        91.2,    145,           6,    145,         1.4,    145,       822.5,      1,    528455.3,    145,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       223.8,      1,       218.2,      1,        13.6,      1,         3.5,      1,        23.8,      1,        88.2,    145,         353,    145,         1.6,    145,       826.3,      1,    572326.2,    145,430 - Umid.relativa aria (percentuale)
00:00:00 01/08/2016,       172.2,      1,       178.7,      1,        12.7,      1,         3.3,      1,        21.6,      1,        90.6,    145,         339,    145,         1.5,    145,       827.5,      1,    555620.2,    145,500 - Direzione vento media (gradi)
00:00:00 01/09/2016,        85.4,      1,        85.4,      1,        10.2,      1,         3.9,      1,        19.7,      1,        91.7,    145,         344,    145,         1.4,    145,       826.4,      1,    377882.3,    145,515 - Veloc. vento media (metri/secondo)
