"Time","T0393","","T0393","","T0393","","T0393","","T0393",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/01/2016,        77.8,      1,        77.8,      1,         0.3,      1,        -9.7,      1,        14.7,      1,Sites:
00:00:00 01/02/2016,       206.6,      1,       206.0,      1,         4.2,      1,        -3.6,      1,        16.6,      1,T0393 - Storo Lat:45.846767 Long:10.562447 Elev:385
00:00:00 01/03/2016,        84.6,      1,        85.1,      1,         7.2,      1,"",    151,        19.0,      1,
00:00:00 01/04/2016,        43.4,      1,        49.8,      1,        12.3,      1,         0.6,      1,        22.7,      1,Variables:
00:00:00 01/05/2016,       180.4,      1,       171.6,      1,        13.9,      1,         3.5,      1,        27.5,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       153.8,      1,       156.0,      1,        18.3,      1,         9.0,      1,        32.1,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       158.2,    140,       149.7,    140,        21.0,      1,"",    151,        32.2,      1,
00:00:00 01/08/2016,        92.8,      1,       101.5,    140,        19.5,      1,"",    151,        31.4,      1,Qualities:
00:00:00 01/09/2016,        41.2,      1,        41.2,      1,        17.5,      1,"",    151,        30.0,      1,1 - Dato buono
00:00:00 01/10/2016,       131.2,      1,       131.1,      1,        10.7,      1,"",    151,        23.5,      1,"140 - dato incerto, per analisi climatiche o malfunzionamento stazione"
00:00:00 01/11/2016,       138.2,      1,       138.3,      1,         6.5,      1,"",    151,        17.3,      1,"145 - da teletrasmissione, non validato"
00:00:00 01/12/2016,         0.0,      1,         0.0,      1,         0.3,      1,        -7.4,      1,        17.3,      1,151 - Dato mancante
00:00:00 01/01/2017,        13.2,      1,        13.1,      1,        -2.6,      1,       -12.2,      1,         8.2,      1,255 - No data
