"Time","T0027","","T0027","","T0027","","T0027","","T0027",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/01/2016,        45.4,      1,        45.4,      1,        -2.0,      1,       -11.4,      1,        11.2,    140,Sites:
00:00:00 01/02/2016,       205.2,    140,       203.1,    140,         0.5,      1,        -6.8,      1,        11.1,    140,T0027 - Val Noana (Diga) Lat:46.138717 Long:11.839286 Elev:1030
00:00:00 01/03/2016,       108.2,      1,       110.3,      1,         2.3,      1,        -5.7,      1,        17.8,      1,
00:00:00 01/04/2016,        88.8,      1,        94.0,      1,         7.7,      1,        -1.7,      1,        19.4,      1,Variables:
00:00:00 01/05/2016,       191.8,      1,       178.6,      1,        10.0,      1,         0.7,      1,        22.7,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       192.8,      1,       195.6,      1,        13.9,      1,         6.2,      1,        28.7,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       134.6,    140,       132.5,    140,        16.8,      1,         6.2,      1,        26.7,      1,
00:00:00 01/08/2016,       157.8,      1,       165.0,      1,        16.0,      1,         7.0,      1,        26.7,      1,Qualities:
00:00:00 01/09/2016,        81.4,      1,        81.4,      1,        13.9,      1,         6.0,      1,        25.8,      1,1 - Dato buono
00:00:00 01/10/2016,       135.6,      1,       135.6,      1,         7.4,      1,        -1.1,      1,        18.8,      1,"140 - dato incerto, per analisi climatiche o malfunzionamento stazione"
00:00:00 01/11/2016,       104.8,      1,       104.8,      1,         3.1,      1,        -4.7,      1,        11.7,      1,"145 - da teletrasmissione, non validato"
00:00:00 01/12/2016,         0.0,      1,         0.0,      1,         0.1,      1,        -5.1,      1,        14.2,      1,151 - Dato mancante
00:00:00 01/01/2017,         5.2,      1,         4.4,      1,        -4.7,      1,       -12.6,      1,         7.8,      1,255 - No data
