"Time","T0419","","T0419","","T0419","","T0419",""
"and","10.00","","400.00","","500.00","","515.00",""
"Date","Pioggia (mm)","","Temp. aria (°C)","","Dir. Vento (°)","","Vel. Vento (m/s)",""
"","Total","Qual","Mean","Qual","Mean","Qual","Mean","Qual"
00:00:00 01/01/2016,        44.8,    140,        -1.2,      1,"",    151,"",    151,Sites:
00:00:00 01/02/2016,       170.4,    140,         0.8,      1,"",    151,"",    151,T0419 - Tonadico (Castelpietra) Lat:46.198934 Long:11.865668 Elev:1045
00:00:00 01/03/2016,        94.8,    140,         2.7,      1,"",    151,"",    151,
00:00:00 01/04/2016,        81.2,      1,         8.0,      1,"",    151,"",    151,Variables:
00:00:00 01/05/2016,       184.6,      1,        10.0,      1,"",    151,"",    151,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       185.8,    140,        14.0,      1,"",    151,"",    151,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       145.0,    140,        16.9,      1,"",    151,"",    151,500 - Direzione vento media (gradi)
00:00:00 01/08/2016,       158.2,      1,        15.9,      1,"",    151,"",    151,515 - Veloc. vento media (metri/secondo)
00:00:00 01/09/2016,        93.4,      1,        13.9,      1,"",    151,"",    151,
00:00:00 01/10/2016,       133.0,      1,         7.5,      1,"",    151,"",    151,Qualities:
00:00:00 01/11/2016,        96.6,      1,         3.3,      1,"",    151,"",    151,1 - Dato buono
00:00:00 01/12/2016,         0.0,      1,         1.2,      1,"",    151,"",    151,"140 - dato incerto, per analisi climatiche o malfunzionamento stazione"
00:00:00 01/01/2017,         5.6,      1,        -3.5,      1,"",    151,"",    151,"145 - da teletrasmissione, non validato"
00:00:00 01/02/2017,        73.6,      1,         1.5,      1,"",    151,"",    151,151 - Dato mancante
00:00:00 01/03/2017,        34.2,      1,         5.8,      1,"",    151,"",    151,255 - No data
00:00:00 01/04/2017,       125.0,      1,         6.9,      1,"",    151,"",    151
00:00:00 01/05/2017,       106.0,      1,        11.5,      1,"",    151,"",    151
00:00:00 01/06/2017,       178.8,      1,        16.4,      1,"",    151,"",    151
00:00:00 01/07/2017,       198.6,      1,        17.0,      1,"",    151,"",    151
00:00:00 01/08/2017,        75.4,      1,        17.4,      1,"",    151,"",    151
00:00:00 01/09/2017,       164.6,      1,        10.8,      1,"",    151,"",    151
00:00:00 01/10/2017,        19.0,      1,         8.4,      1,"",    151,"",    151
00:00:00 01/11/2017,       118.6,      1,         1.9,      1,"",    151,"",    151
00:00:00 01/12/2017,       135.6,      1,        -2.0,      1,"",    151,"",    151
00:00:00 01/01/2018,        88.0,      1,         0.0,      1,"",    151,"",    151
00:00:00 01/02/2018,        37.0,      1,        -2.2,      1,"",    151,"",    151
00:00:00 01/03/2018,       125.8,      1,         1.7,      1,"",    151,"",    151
00:00:00 01/04/2018,       120.0,      1,         9.4,      1,"",    151,"",    151
00:00:00 01/05/2018,       204.8,      1,        11.5,      1,"",    151,"",    151
00:00:00 01/06/2018,       134.6,      1,        15.1,      1,"",    151,"",    151
00:00:00 01/07/2018,       159.0,      1,        16.7,      1,"",    151,"",    151
00:00:00 01/08/2018,       145.8,      1,        16.7,      1,"",    151,"",    151
00:00:00 01/09/2018,        53.8,      1,        13.6,      1,"",    151,"",    151
00:00:00 01/10/2018,       407.4,      1,         9.4,      1,"",    151,"",    151
00:00:00 01/11/2018,       105.4,      1,         4.5,      1,"",    151,"",    151
00:00:00 01/12/2018,         6.6,      1,        -0.4,      1,"",    151,"",    151
00:00:00 01/01/2019,        19.2,      1,        -2.1,      1,"",    151,"",    151
00:00:00 01/02/2019,        93.8,      1,         1.5,      1,"",    151,"",    151
00:00:00 01/03/2019,        29.2,      1,         4.3,      1,"",    151,"",    151
00:00:00 01/04/2019,       324.6,      1,         6.5,      1,"",    151,"",    151
00:00:00 01/05/2019,       223.8,      1,         8.3,      1,"",    151,"",    151
00:00:00 01/06/2019,        50.2,      1,        17.7,      1,"",    151,"",    151
00:00:00 01/07/2019,       185.8,      1,        16.9,      1,"",    151,"",    151
00:00:00 01/08/2019,       139.8,      1,        17.3,      1,"",    151,"",    151
00:00:00 01/09/2019,       106.6,      1,        12.9,      1,"",    151,"",    151
00:00:00 01/10/2019,        86.8,      1,         9.6,      1,          27,    145,         0.5,    145
00:00:00 01/11/2019,       528.4,      1,         3.9,      1,          14,    145,         0.4,    145
00:00:00 01/12/2019,        83.2,      1,         0.6,      1,          35,    145,         0.6,    145
00:00:00 01/01/2020,        10.6,      1,         0.2,      1,          45,    145,         0.8,    145
00:00:00 01/02/2020,         5.0,      1,         2.0,      1,          49,    145,         0.9,    145
00:00:00 01/03/2020,       120.2,      1,         2.7,      1,          32,    145,         0.7,    145
00:00:00 01/04/2020,        33.6,      1,         8.2,      1,          50,    145,         1.0,    145
00:00:00 01/05/2020,       100.8,      1,        11.4,      1,          46,    145,         0.8,    145
00:00:00 01/06/2020,       166.0,      1,        14.0,      1,          37,    145,         0.6,    145
00:00:00 01/07/2020,       142.2,      1,        16.6,      1,          42,    145,         0.7,    145
00:00:00 01/08/2020,       294.6,      1,        16.7,      1,          41,    145,         0.7,    145
00:00:00 01/09/2020,        57.0,      1,        13.1,      1,          42,    145,         0.7,    145
00:00:00 01/10/2020,       280.6,      1,         6.9,      1,          35,    145,         0.6,    145
00:00:00 01/11/2020,         3.6,      1,         3.5,      1,          51,    145,         0.8,    145
00:00:00 01/12/2020,       393.8,      1,        -0.6,      1,          24,    145,         0.4,    145
00:00:00 01/01/2021,       106.4,      1,        -3.7,      1,          27,    145,         0.5,    145
00:00:00 01/02/2021,        44.0,      1,         0.8,      1,          42,    145,         0.7,    145
00:00:00 01/03/2021,         5.6,      1,         3.0,      1,          54,    145,         1.0,    145
00:00:00 01/04/2021,        81.0,      1,         5.3,      1,          64,    145,         0.9,    145
00:00:00 01/05/2021,       163.8,      1,         9.6,      1,          71,    145,         0.8,    145
00:00:00 01/06/2021,        60.8,      1,        16.8,      1,          58,    145,         0.8,    145
00:00:00 01/07/2021,       209.8,      1,        16.9,      1,          48,    145,         0.6,    145
00:00:00 01/08/2021,       124.6,      1,        15.8,      1,          39,    145,         0.5,    145
00:00:00 01/09/2021,        69.6,      1,        14.0,      1,          38,    145,         0.6,    145
00:00:00 01/10/2021,        70.8,      1,         7.5,      1,          34,    145,         0.6,    145
00:00:00 01/11/2021,       185.4,      1,         4.1,      1,          17,    145,         0.4,    145
00:00:00 01/12/2021,        22.0,      1,        -0.2,      1,          18,    145,         0.4,    145
00:00:00 01/01/2022,        25.8,      1,         0.2,      1,          29,    145,         0.8,    145
00:00:00 01/02/2022,        33.2,      1,         1.2,      1,          32,    145,         0.9,    145
00:00:00 01/03/2022,         6.6,      1,         2.8,      1,          45,    145,         0.9,    145
00:00:00 01/04/2022,        84.2,      1,         6.4,      1,          17,    145,         0.7,    145
00:00:00 01/05/2022,       111.6,      1,        13.2,      1,          40,    145,         0.6,    145
00:00:00 01/06/2022,       128.8,      1,        17.3,      1,          44,    145,         0.7,    145
00:00:00 01/07/2022,       130.4,      1,        18.7,      1,          40,    145,         0.7,    145
00:00:00 01/08/2022,       127.2,      1,        17.1,      1,          35,    145,         0.6,    145
00:00:00 01/09/2022,       132.0,      1,        12.4,      1,          24,    145,         0.5,    145
00:00:00 01/10/2022,        53.2,      1,        11.1,      1,          39,    145,         0.6,    145
00:00:00 01/11/2022,        88.8,      1,         4.4,      1,          28,    145,         0.6,    145
00:00:00 01/12/2022,        94.2,      1,         0.2,      1,          26,    145,         0.4,    145
00:00:00 01/01/2023,        40.8,      1,        -0.1,      1,          25,    145,         0.6,    145
00:00:00 01/02/2023,         0.0,      1,         1.7,      1,          50,    145,         0.9,    145
00:00:00 01/03/2023,        38.2,      1,         5.1,      1,          40,    145,         0.9,    145
00:00:00 01/04/2023,        74.4,    145,         6.2,    145,          41,    145,         0.8,    145
00:00:00 01/05/2023,       201.0,    145,        11.2,    145,          16,    145,         0.6,    145
00:00:00 01/06/2023,       134.0,    145,        15.8,    145,          35,    145,         0.5,    145
00:00:00 01/07/2023,       141.0,    145,        17.6,    145,          41,    145,         0.6,    145
00:00:00 01/08/2023,       212.4,    145,        17.6,    145,          39,    145,         0.6,    145
00:00:00 01/09/2023,        56.2,    145,        14.9,    145,          36,    145,         0.6,    145
00:00:00 01/10/2023,       244.4,    145,        11.2,    145,          29,    145,         0.6,    145
00:00:00 01/11/2023,       106.0,    145,         2.8,    145,          33,    145,         0.8,    145
00:00:00 01/12/2023,        77.6,    145,         1.6,    145,          27,    145,         0.7,    145
00:00:00 01/01/2024,        56.0,    145,         0.3,    145,          31,    145,         0.7,    145
00:00:00 01/02/2024,       148.2,    145,         4.0,    145,          26,    145,         0.6,    145
00:00:00 01/03/2024,       189.8,    145,         5.0,    145,          28,    145,         0.7,    145
00:00:00 01/04/2024,        81.0,    145,         8.1,    145,          35,    145,         0.9,    145
00:00:00 01/05/2024,       283.2,    145,        10.9,    145,          29,    145,         0.5,    145
00:00:00 01/06/2024,       144.2,    145,        15.6,    145,          35,    145,         0.5,    145
00:00:00 01/07/2024,       146.4,    145,        18.6,    145,          42,    145,         0.6,    145
