"Time","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/01/2016,        49.0,      1,        49.0,      1,        -2.2,      1,       -12.2,      1,        10.1,    140,        77.5,      1,         275,      1,         0.5,      1,       905.1,      1,     72743.2,      1,Sites:
00:00:00 01/02/2016,        98.2,      1,        96.5,      1,         0.7,      1,        -8.5,      1,         9.4,      1,        85.4,      1,         323,      1,         0.5,      1,       902.6,      1,    174432.9,      1,T0071 - Mezzana Lat:46.313313 Long:10.795904 Elev:905
00:00:00 01/03/2016,        56.8,      1,        58.7,      1,         3.2,      1,        -6.6,      1,        18.0,      1,        75.3,      1,         340,    140,         0.8,      1,       901.9,      1,    385063.6,      1,
00:00:00 01/04/2016,        54.4,      1,        60.0,      1,         9.1,      1,        -2.6,      1,        20.3,      1,        75.0,      1,         341,      1,         1.0,      1,       902.4,      1,    489982.6,      1,Variables:
00:00:00 01/05/2016,       127.2,      1,       119.8,      1,        11.2,      1,         0.6,      1,        25.7,      1,        77.5,      1,          10,      1,         1.1,      1,       903.9,      1,    567653.3,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       167.6,      1,       168.0,      1,        15.6,      1,         6.3,      1,        30.8,      1,        84.6,      1,          13,      1,         1.0,      1,       905.7,      1,    629228.1,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,        92.2,      1,        86.5,      1,        18.3,      1,         5.8,      1,        29.7,      1,        80.7,      1,           3,      1,         1.1,      1,       908.9,      1,    690673.7,      1,430 - Umid.relativa aria (percentuale)
00:00:00 01/08/2016,        94.2,      1,       101.1,      1,        16.9,      1,         6.6,      1,        27.5,      1,        84.5,      1,         348,      1,         0.9,      1,       910.7,      1,    629272.9,      1,500 - Direzione vento media (gradi)
00:00:00 01/09/2016,        26.4,      1,        26.3,      1,        15.1,      1,         6.5,      1,        26.6,      1,        82.7,      1,         312,      1,         0.8,      1,       910.1,      1,    448609.3,      1,515 - Veloc. vento media (metri/secondo)
