"Time","T0175","","T0175","","T0175","","T0175","","T0175","","T0175","","T0175","","T0175","","T0175","","T0175",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/01/2016,        59.8,      1,        59.8,      1,        -0.8,      1,       -11.0,      1,        14.2,    140,        81.2,    140,         341,      1,         0.5,      1,       922.1,      1,     80209.6,      1,Sites:
00:00:00 01/02/2016,       138.0,    140,       136.0,    140,         1.7,      1,        -7.4,      1,        11.8,      1,        89.5,    145,         345,    145,         0.4,    145,       919.6,      1,    113412.3,      1,T0175 - Pinzolo Lat:46.156507 Long:10.757484 Elev:760
00:00:00 01/03/2016,        75.8,    140,        77.7,    140,         4.9,      1,        -4.4,      1,        19.5,      1,        75.2,    145,         348,    145,         0.8,    145,       918.7,      1,    271178.7,      1,
00:00:00 01/04/2016,        47.6,      1,        52.8,      1,        10.5,      1,        -1.6,      1,        21.4,      1,        76.4,    145,          29,    145,         1.0,    145,       919.0,      1,    341932.3,      1,Variables:
00:00:00 01/05/2016,       149.8,      1,       143.9,      1,        12.1,      1,         1.7,      1,        25.4,      1,        80.6,    145,          16,    145,         0.8,    145,       920.4,      1,    407793.7,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,        91.2,      1,        91.8,      1,        16.4,      1,         6.8,      1,        31.9,      1,        85.5,    145,          10,    145,         0.7,    145,       922.0,      1,    463007.4,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       118.2,      1,       114.6,      1,        18.9,      1,         6.5,      1,        29.9,      1,        85.1,    145,         357,    145,         0.8,    145,       924.8,      1,    505456.2,      1,430 - Umid.relativa aria (percentuale)
00:00:00 01/08/2016,        82.8,      1,        86.5,      1,        17.6,      1,         7.3,      1,        28.7,      1,        86.7,    145,           2,    145,         0.7,    145,       926.6,      1,    438497.9,      1,500 - Direzione vento media (gradi)
00:00:00 01/09/2016,        24.0,      1,        24.0,      1,        15.7,      1,         6.3,      1,        28.7,      1,        86.2,    145,           2,    145,         0.5,    145,       926.1,      1,    297224.0,      1,515 - Veloc. vento media (metri/secondo)
