"Time","T0177","","T0177","","T0177","","T0177","","T0177",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/01/2016,        53.4,      1,        53.4,      1,        -2.1,      1,       -12.0,      1,        10.1,    140,Sites:
00:00:00 01/02/2016,       155.8,      1,       155.4,      1,         0.2,      1,        -9.2,      1,        10.1,      1,T0177 - Val di Breguzzo (Ponte Arno') Lat:46.032015 Long:10.640606 Elev:1148
00:00:00 01/03/2016,        64.2,      1,        64.6,      1,         2.0,      1,        -7.6,      1,        15.6,      1,
00:00:00 01/04/2016,        37.0,    140,        44.4,    140,         6.8,      1,        -3.4,      1,        17.6,      1,Variables:
00:00:00 01/05/2016,       178.0,      1,       169.0,      1,         8.7,      1,        -0.1,      1,        21.3,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       149.6,      1,       148.7,      1,        12.9,      1,         4.2,      1,        27.1,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       149.4,      1,       143.0,      1,        15.7,      1,         4.1,      1,        26.1,      1,
00:00:00 01/08/2016,       149.0,      1,       157.8,      1,        14.7,      1,         5.3,      1,        25.2,      1,Qualities:
00:00:00 01/09/2016,        64.4,      1,        64.4,      1,        12.9,      1,         5.0,      1,        25.4,      1,1 - Dato buono
00:00:00 01/10/2016,        94.0,    140,        94.0,    140,         6.4,      1,        -2.1,      1,        16.8,      1,"140 - dato incerto, per analisi climatiche o malfunzionamento stazione"
00:00:00 01/11/2016,       183.2,      1,       183.2,      1,         2.5,      1,        -5.5,      1,        11.1,      1,"145 - da teletrasmissione, non validato"
00:00:00 01/12/2016,         1.0,      1,         1.0,      1,        -0.4,      1,        -5.7,      1,        11.2,      1,255 - No data
00:00:00 01/01/2017,         7.6,      1,         7.4,      1,        -5.0,      1,       -13.4,      1,         5.9,      1
