Time,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,
and,10,,10.5,,400,,400.55,,400.56,,430,,500,,515,,550,,750,,
Date,Pioggia (mm),,Pioggia (mm),,Temp. aria (�C),,Temp. aria (�C),,Temp. aria (�C),,Umid.relat. aria (%),,Dir. Vento (�),,Vel. Vento (m/s),,Pressione atm. (hPa),,Rad.Sol.Tot. (kJ/m2),,
,Total,Qual,Total,Qual,Mean,Qual,Min,Qual,Max,Qual,Mean,Qual,Mean,Qual,Mean,Qual,Mean,Qual,Total,Qual,
00:00:00 01/01/2016,55,1,55,1,-0.8,1,-10.9,1,13.2,140,88.2,145,330,1,0.7,1,952.1,1,115749.6,1,Sites:
00:00:00 01/02/2016,163.6,1,163.1,1,2.9,1,-5.1,1,14.7,1,82.2,145,7,1,0.7,1,949.5,1,147079.4,1,T0179 - Tione Lat:46.041087 Long:10.730879 Elev:533
00:00:00 01/03/2016,70.8,1,71.2,1,6.2,1,-3.9,1,48.4,140,73.5,145,19,1,1.2,1,948.5,1,331840.9,1,
00:00:00 01/04/2016,45.6,1,54.2,1,11.6,1,-0.5,1,22.7,140,69.7,145,51,1,1.4,1,948.8,1,427572.2,1,Variables:
00:00:00 01/05/2016,154.2,1,145.4,1,13,1,2.3,1,26.8,1,66.6,145,14,1,1.1,1,950.2,1,474098,1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,110.2,1,107,1,17.5,140,8.1,1,31.7,1,68.9,145,18,140,1.1,1,951.6,1,549929.9,1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,121.4,1,116.9,1,19.9,1,6.3,1,30.8,1,79.5,145,356,140,1.1,1,954.5,1,586545.7,1,430 - Umid.relativa aria (percentuale)
00:00:00 01/08/2016,115.2,1,123.1,1,18.6,1,8.8,1,29.2,1,81.2,145,352,140,1.1,1,956.5,1,569703.4,1,500 - Direzione vento media (gradi)
00:00:00 01/09/2016,26.8,1,26.8,1,16.8,1,6.7,1,29.6,1,80.2,145,355,1,0.9,1,956.2,1,420622.9,1,515 - Veloc. vento media (metri/secondo)
00:00:00 01/10/2016,116.2,1,116.2,1,9.7,1,-0.5,1,21.8,1,89,145,348,1,0.7,1,956.3,1,209994.8,1,550 - Pressione atmosferica (Ettopascal)
00:00:00 01/11/2016,148.8,1,148.8,1,5.3,1,-4.6,1,16.1,1,91,145,359,1,0.7,1,953.5,1,98594.6,1,750 - Radiazione solare totale (KJoule/metroquadro)
00:00:00 01/12/2016,0,1,0,1,-0.7,1,-6.6,1,11.2,1,90.4,145,319,1,0.6,1,964.7,1,97074.2,1,
00:00:00 01/01/2017,6.6,1,6.6,1,-3.7,1,-13.5,1,8.2,1,80.3,145,343,1,0.5,1,956.7,1,129292.3,1,Qualities:
00:00:00 01/02/2017,96.6,1,83.4,1,3,1,-3.7,1,16.1,1,87.7,145,359,1,0.7,1,955.3,1,150168.5,1,1 - Dato buono
00:00:00 01/03/2017,47,1,60.2,1,8.2,1,-3.3,1,22.8,1,73.2,145,9,140,1.2,140,953.8,1,370499.3,1,90 - Neve (ritardato)
00:00:00 01/04/2017,103,1,103,1,10.2,1,-3.6,1,23.1,1,69.5,145,14,1,1.4,1,953.1,1,444584,1,"140 - dato incerto, per analisi climatiche o malfunzionamento stazione"
00:00:00 01/05/2017,95.8,1,95.8,1,14.7,1,2.6,1,28.4,1,75.7,145,34,140,1.2,1,953.8,1,579778.4,1,"145 - da teletrasmissione, non validato"
00:00:00 01/06/2017,136.6,1,134.2,1,19.4,1,6.9,1,33.2,1,76,145,344,140,1.2,1,953.1,1,611121.6,1,151 - Dato mancante
00:00:00 01/07/2017,109.2,1,111.6,1,19.9,1,8.5,1,32.7,1,75.6,145,26,140,1.1,1,953.5,1,695405.4,1,255 - No data
00:00:00 01/08/2017,132.8,1,132.8,1,19.9,1,9.3,1,33.4,1,78.8,145,1,1,1,1,955.7,1,577091.8,1,
00:00:00 01/09/2017,90,140,92.5,140,13.6,1,3,1,24.5,1,86.3,145,18,1,0.8,1,953.1,1,329697,1,
00:00:00 01/10/2017,16.6,1,14.1,1,10.1,1,-0.8,1,24.1,1,82.1,145,339,1,0.8,1,957.7,1,268268,1,
