"Time","T0030","","T0030","","T0030","","T0030","","T0030",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/01/2016,        57.4,      1,        57.4,      1,         0.0,      1,        -9.1,      1,        11.5,      1,Sites:
00:00:00 01/02/2016,       195.4,    140,       193.0,    140,         2.3,      1,        -3.9,      1,        12.4,      1,T0030 - Canal San Bovo Lat:46.14956 Long:11.734845 Elev:750
00:00:00 01/03/2016,        94.4,     90,        96.7,     90,         4.7,      1,        -2.7,      1,        17.7,      1,
00:00:00 01/04/2016,        78.8,      1,        83.2,      1,        10.0,      1,        -0.5,      1,        21.4,      1,Variables:
00:00:00 01/05/2016,       146.8,      1,       136.3,      1,        12.2,      1,         2.3,      1,        24.9,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       153.4,    140,       140.0,    140,        16.0,      1,         8.6,      1,        29.9,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       196.0,      1,       210.7,      1,        19.1,      1,         9.5,      1,        28.9,      1,
00:00:00 01/08/2016,"",    255,"",    151,"",    255,"",    151,"",    151,Qualities:
00:00:00 01/09/2016,        63.8,      1,        64.9,      1,        16.0,      1,         8.3,      1,        27.1,      1,1 - Dato buono
00:00:00 01/10/2016,       122.8,      1,       122.8,      1,         9.0,      1,         0.2,      1,        19.8,      1,90 - Neve (ritardato)
00:00:00 01/11/2016,       117.6,      1,       117.6,      1,         4.7,      1,        -3.5,      1,        12.0,      1,"140 - dato incerto, per analisi climatiche o malfunzionamento stazione"
00:00:00 01/12/2016,         0.0,      1,         0.0,      1,         2.1,      1,        -3.3,      1,        14.1,      1,"145 - da teletrasmissione, non validato"
00:00:00 01/01/2017,         5.2,      1,         4.6,      1,        -2.3,      1,       -10.7,      1,         8.2,      1,151 - Dato mancante
