"Time","T0429","","T0429",""
"and","10.00","","400.00",""
"Date","Pioggia (mm)","","Temp. aria (°C)",""
"","Total","Qual","Mean","Qual"
00:00:00 01/01/2016,        74.4,    140,        -2.9,      1,Sites:
00:00:00 01/02/2016,        85.6,    140,        -1.4,      1,T0429 - Lago Di Calaita Lat:46.200619 Long:11.793483 Elev:1605
00:00:00 01/03/2016,        72.2,    140,        -1.2,      1,
00:00:00 01/04/2016,        94.6,    140,         3.7,      1,Variables:
00:00:00 01/05/2016,       157.6,      1,         6.6,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       202.2,      1,        10.9,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       252.4,      1,        14.0,      1,
00:00:00 01/08/2016,       148.0,      1,        13.2,      1,Qualities:
00:00:00 01/09/2016,        89.6,      1,        11.0,      1,1 - Dato buono
00:00:00 01/10/2016,       113.4,      1,         4.7,      1,90 - Neve (ritardato)
00:00:00 01/11/2016,       122.0,      1,         1.0,      1,"140 - dato incerto, per analisi climatiche o malfunzionamento stazione"
00:00:00 01/12/2016,         0.2,      1,         0.4,      1,"145 - da teletrasmissione, non validato"
00:00:00 01/01/2017,         5.4,      1,        -5.6,      1,151 - Dato mancante
00:00:00 01/02/2017,        89.8,    140,        -1.5,      1,255 - No data
00:00:00 01/03/2017,        44.0,      1,         2.4,      1
00:00:00 01/04/2017,       141.6,      1,         3.3,      1
00:00:00 01/05/2017,        90.4,      1,         8.1,      1
00:00:00 01/06/2017,       213.0,      1,        13.3,      1
00:00:00 01/07/2017,       152.2,      1,        14.0,      1
00:00:00 01/08/2017,        66.6,      1,        14.8,      1
00:00:00 01/09/2017,       187.4,      1,         7.7,      1
00:00:00 01/10/2017,        17.6,      1,         6.8,      1
00:00:00 01/11/2017,        94.2,    140,         0.1,      1
00:00:00 01/12/2017,       120.6,    140,        -3.8,      1
00:00:00 01/01/2018,        75.8,    140,        -2.2,      1
00:00:00 01/02/2018,        37.6,    140,        -6.6,      1
00:00:00 01/03/2018,       133.6,    140,        -1.8,      1
00:00:00 01/04/2018,       103.4,      1,         4.8,      1
00:00:00 01/05/2018,       186.0,      1,         8.5,      1
00:00:00 01/06/2018,       124.8,      1,        12.0,      1
00:00:00 01/07/2018,       177.2,      1,        13.8,      1
00:00:00 01/08/2018,       161.4,      1,        14.2,      1
00:00:00 01/09/2018,        56.8,      1,        11.0,      1
00:00:00 01/10/2018,       334.6,      1,         7.2,      1
00:00:00 01/11/2018,        96.2,      1,         2.0,      1
00:00:00 01/12/2018,         5.0,    140,        -1.6,      1
00:00:00 01/01/2019,         5.4,    140,        -4.4,      1
00:00:00 01/02/2019,        68.2,     90,        -1.0,      1
00:00:00 01/03/2019,        31.0,    140,         0.8,      1
00:00:00 01/04/2019,       235.6,    140,         2.8,      1
00:00:00 01/05/2019,       206.2,    140,         4.7,      1
00:00:00 01/06/2019,        73.6,      1,        14.5,      1
00:00:00 01/07/2019,       164.8,      1,        14.1,      1
00:00:00 01/08/2019,        80.2,      1,        14.2,      1
00:00:00 01/09/2019,        99.4,      1,        10.1,      1
00:00:00 01/10/2019,       126.6,      1,         7.0,      1
00:00:00 01/11/2019,       447.8,    140,         1.1,      1
00:00:00 01/12/2019,       100.4,    140,        -1.4,      1
00:00:00 01/01/2020,        10.0,      1,        -2.5,      1
00:00:00 01/02/2020,         3.0,      1,        -0.1,      1
00:00:00 01/03/2020,        87.4,    140,        -1.0,      1
00:00:00 01/04/2020,        41.6,      1,         4.1,      1
00:00:00 01/05/2020,       103.6,      1,         8.1,      1
00:00:00 01/06/2020,       167.6,      1,        10.6,      1
00:00:00 01/07/2020,       132.8,      1,        13.4,      1
00:00:00 01/08/2020,       268.0,      1,        13.9,      1
00:00:00 01/09/2020,        83.8,      1,        10.6,      1
00:00:00 01/10/2020,       278.0,    140,         4.4,      1
00:00:00 01/11/2020,         5.0,      1,         2.4,      1
00:00:00 01/12/2020,       201.6,    140,        -3.2,      1
00:00:00 01/01/2021,        84.2,    140,        -6.1,      1
00:00:00 01/02/2021,        57.6,    140,        -2.6,      1
00:00:00 01/03/2021,         3.4,      1,        -1.7,      1
00:00:00 01/04/2021,        81.0,    140,         0.3,      1
00:00:00 01/05/2021,       225.2,      1,         5.2,      1
00:00:00 01/06/2021,        43.4,      1,        13.0,      1
00:00:00 01/07/2021,       195.2,      1,        13.7,      1
00:00:00 01/08/2021,       170.4,      1,        12.4,      1
00:00:00 01/09/2021,        64.2,      1,        10.4,      1
00:00:00 01/10/2021,        86.2,      1,         5.0,      1
00:00:00 01/11/2021,       158.8,      1,         1.7,      1
00:00:00 01/12/2021,        15.0,    140,        -1.9,      1
00:00:00 01/01/2022,        11.8,    140,        -1.8,      1
00:00:00 01/02/2022,        21.4,      1,        -1.8,      1
00:00:00 01/03/2022,         3.6,      1,        -1.6,      1
00:00:00 01/04/2022,        70.4,      1,         2.1,      1
00:00:00 01/05/2022,       116.4,      1,         9.5,      1
00:00:00 01/06/2022,       120.6,      1,        13.9,      1
00:00:00 01/07/2022,       151.4,      1,        15.4,      1
00:00:00 01/08/2022,       143.8,      1,        13.9,      1
00:00:00 01/09/2022,       115.6,      1,         8.7,      1
00:00:00 01/10/2022,        80.0,      1,         8.6,      1
00:00:00 01/11/2022,        61.6,    140,         1.8,      1
00:00:00 01/12/2022,        70.8,    140,        -2.4,      1
00:00:00 01/01/2023,        26.2,    140,        -3.4,      1
00:00:00 01/02/2023,         0.6,      1,        -1.4,      1
00:00:00 01/03/2023,        20.2,      1,         1.0,      1
00:00:00 01/04/2023,        47.4,      1,         2.1,      1
00:00:00 01/05/2023,       116.8,      1,         7.5,      1
00:00:00 01/06/2023,       139.6,      1,        12.2,      1
00:00:00 01/07/2023,       144.8,      1,        14.4,      1
00:00:00 01/08/2023,       132.8,      1,        14.5,      1
00:00:00 01/09/2023,        72.4,      1,        12.0,      1
00:00:00 01/10/2023,       227.2,      1,         8.7,      1
